journal_name,subject_area,print_number,online_number,journal_link
Інсайт                            Insight,Science: Physiology,2663-970X,2664-6005,https://doaj.org/toc/2663-970X
Advanced Sensor and Energy Materials,"Technology: Mechanical engineering and machinery: Renewable energy sources
Technology: Chemical technology
Technology: Electrical engineering. Electronics. Nuclear engineering: Production of electric energy or power. Powerplants. Central stations",,2773-045X,https://doaj.org/toc/2773-045X
Power Electronic Devices and Components,Technology: Electrical engineering. Electronics. Nuclear engineering: Electric apparatus and materials. Electric circuits. Electric networks,,2772-3704,https://doaj.org/toc/2772-3704
"Liang you shipin ke-ji                            Science and Technology of Cereals, Oils and Foods","Technology: Chemical technology: Food processing and manufacture
Technology: Home economics: Nutrition. Foods and food supply",1007-7561,,https://doaj.org/toc/1007-7561
مجلة الميادين الاقتصادية                            Journal of Al Mayadine Al Iktissadia,"Social Sciences: Commerce
Social Sciences: Economic theory. Demography: Economics as a science",2716-7615,2716-8565,https://doaj.org/toc/2716-7615
ECS Advances,Technology: Chemical technology: Industrial electrochemistry,,2754-2734,https://doaj.org/toc/2754-2734
Fly,Science: Biology (General),1933-6934,1933-6942,https://doaj.org/toc/1933-6934
Jurnal Riset Informatika,"Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware",2656-1743,2656-1735,https://doaj.org/toc/2656-1743
International Journal of Urban Sustainable Development,"Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Urban renewal. Urban redevelopment
Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",1946-3138,1946-3146,https://doaj.org/toc/1946-3138
Physics Access,Science: Physics,2714-500X,2756-3898,https://doaj.org/toc/2714-500X
Journal of Management Small and Medium Enterprises (SME's),Social Sciences: Commerce: Business,2502-2385,2723-469X,https://doaj.org/toc/2502-2385
Jurnal Ilmiah Bisnis dan Ekonomi Asia,Social Sciences: Commerce: Business,0126-1258,2620-875X,https://doaj.org/toc/0126-1258
He jishu                            Nuclear Techniques,Technology: Electrical engineering. Electronics. Nuclear engineering: Nuclear engineering. Atomic power,0253-3219,,https://doaj.org/toc/0253-3219
Prosperitas,Social Sciences: Commerce: Business,,2786-4359,https://doaj.org/toc/2786-4359
mLife,Science: Microbiology,,2770-100X,https://doaj.org/toc/2770-100X
Communications Engineering,Technology: Engineering (General). Civil engineering (General),,2731-3395,https://doaj.org/toc/2731-3395
Journal of Materials and Physical Sciences                            JMPS,Science: Physics,2791-0598,2791-0601,https://doaj.org/toc/2791-0598
Revista Economía y Negocios,"Social Sciences: Commerce
Social Sciences: Finance",,2602-8050,https://doaj.org/toc/2602-8050
iRASD Journal of Computer Science and Information Technology                            iRASD-JCSIT,Science: Mathematics: Instruments and machines: Electronic computers. Computer science,2791-061X,2791-0628,https://doaj.org/toc/2791-061X
Jurnal Nuansa Akademik                            Jurnal Nuansa Akademik: Jurnal Pembangunan Masyarakat,Social Sciences,1858-2826,2747-0954,https://doaj.org/toc/1858-2826
"Asian Journal of Management, Entrepreneurship and Social Science",Social Sciences: Commerce: Business,,2808-7399,https://doaj.org/toc/2808-7399
"Revista Turpade                            Turpade: Turismo, Patrimonio y Desarrollo","Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",,2448-6809,https://doaj.org/toc/2448-6809
Векторы благополучия: экономика и социум                            Journal of Wellbeing Technologies,Social Sciences: Social sciences (General),,2658-4956,https://doaj.org/toc/2658-4956
Port Said Engineering Research Journal                            PSERJ,Technology: Engineering (General). Civil engineering (General),1110-6603,2536-9377,https://doaj.org/toc/1110-6603
Пищевые системы                            Food Systems,Technology: Chemical technology: Food processing and manufacture,2618-9771,2618-7272,https://doaj.org/toc/2618-9771
Jurnal Ekonomi Pembangunan                            JEP,"Social Sciences: Economic theory. Demography: Economics as a science
Social Sciences: Finance",1829-5843,2685-0788,https://doaj.org/toc/1829-5843
Ekonomista,"Social Sciences: Economic theory. Demography: Economics as a science
Social Sciences: Finance",0013-3205,2299-6184,https://doaj.org/toc/0013-3205
"International Journal of Informatics, Information System and Computer Engineering                            INJIISCOM","Technology: Technology (General): Industrial engineering. Management engineering: Information technology
Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware",2810-0670,2775-5584,https://doaj.org/toc/2810-0670
JISA (Jurnal Informatika dan Sains),"Technology: Technology (General): Industrial engineering. Management engineering: Information technology
Science: Mathematics: Instruments and machines: Electronic computers. Computer science: Computer software",2776-3234,2614-8404,https://doaj.org/toc/2776-3234
Sawala: Jurnal Administrasi Negara,Social Sciences,2302-2221,2598-4039,https://doaj.org/toc/2302-2221
Jurnal Bisnis dan Manajemen                            JBM,"Social Sciences: Commerce: Business
Social Sciences: Industries. Land use. Labor: Management. Industrial management",1829-7528,2581-1584,https://doaj.org/toc/1829-7528
Maketingu Janaru                            Japan Marketing Journal,Social Sciences: Commerce: Business: Marketing. Distribution of products,0389-7265,2188-1669,https://doaj.org/toc/0389-7265
Progress in Microbes and Molecular Biology,"Science: Biology (General)
Science: Microbiology",,2637-1049,https://doaj.org/toc/2637-1049
Business Research Quarterly                            BRQ,Social Sciences: Commerce: Business,,2340-9444,https://doaj.org/toc/2340-9444
اقتصاد باثبات                            Stable Economy Journal,"Social Sciences: Economic theory. Demography: Economics as a science
Social Sciences: Commerce: Business",,2821-1049,https://doaj.org/toc/2821-1049
Highlights in BioScience,"Science: Biology (General)
Science: Chemistry: Organic chemistry: Biochemistry",,2682-4043,https://doaj.org/toc/2682-4043
Populations Vulnérables,Social Sciences,,2650-7684,https://doaj.org/toc/2650-7684
Tribology and Materials,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials,,2812-9717,https://doaj.org/toc/2812-9717
Diklabio: Jurnal Pendidikan dan Pembelajaran Biologi,Science: Biology (General),2598-9634,2598-9669,https://doaj.org/toc/2598-9634
"Annales de l'Institut Henri Poincaré. C, Analyse non Linéaire",Science: Mathematics,0294-1449,1873-1430,https://doaj.org/toc/0294-1449
Jurnal Tata Kota dan Daerah,Social Sciences: Commerce: Business: Office management,2338-168X,2686-5742,https://doaj.org/toc/2338-168X
Redieluz                            Redieluz: Sembrando la investigación estudiantil,"Science: Science (General)
Social Sciences: Social sciences (General)",2244-7334,2791-3953,https://doaj.org/toc/2244-7334
Advanced Devices & Instrumentation,"Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics
Technology: Engineering (General). Civil engineering (General): Applied optics. Photonics",,2767-9713,https://doaj.org/toc/2767-9713
SPE Polymers,Technology: Chemical technology: Polymers and polymer manufacture,,2690-3857,https://doaj.org/toc/2690-3857
JAS (Jurnal Akuntansi Syariah),Social Sciences: Commerce: Business: Accounting. Bookkeeping,2549-3086,2657-1676,https://doaj.org/toc/2549-3086
Electronic Research Archive,"Science: Mathematics
Technology: Technology (General): Industrial engineering. Management engineering: Applied mathematics. Quantitative methods",,2688-1594,https://doaj.org/toc/2688-1594
International Journal of Sustainable Engineering,Technology: Engineering (General). Civil engineering (General),1939-7038,1939-7046,https://doaj.org/toc/1939-7038
European Journal of Materials,Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials,,2688-9277,https://doaj.org/toc/2688-9277
Cellular Microbiology,Science: Microbiology,1462-5814,1462-5822,https://doaj.org/toc/1462-5814
Безопасность техногенных и природных систем                            Safety of Technogenic and Natural System,Technology: Technology (General): Industrial directories: Industrial safety. Industrial accident prevention,,2541-9129,https://doaj.org/toc/2541-9129
International Transactions on Electrical Energy Systems,Technology: Electrical engineering. Electronics. Nuclear engineering,,2050-7038,https://doaj.org/toc/2050-7038
Carnets Natures,"Science: Geology
Science: Natural history (General)
Science: Biology (General)
Science: Botany
Science: Zoology",,2427-6111,https://doaj.org/toc/2427-6111
Technology and Regulation                            TechReg,Science: Mathematics: Instruments and machines: Electronic computers. Computer science,,2666-139X,https://doaj.org/toc/2666-139X
Computational and Mathematical Methods,"Science: Mathematics
Technology: Technology (General): Industrial engineering. Management engineering: Applied mathematics. Quantitative methods",,2577-7408,https://doaj.org/toc/2577-7408
Buletin Pengabdian                            Bulletin of Community Services,"Social Sciences: Social sciences (General)
Technology",2775-958X,2807-3975,https://doaj.org/toc/2775-958X
Oxford Open Energy,"Social Sciences: Industries. Land use. Labor: Special industries and trades: Energy industries. Energy policy. Fuel trade
Technology: Mechanical engineering and machinery: Renewable energy sources",,2752-5082,https://doaj.org/toc/2752-5082
Food Bioengineering,Technology: Chemical technology: Food processing and manufacture,,2770-2081,https://doaj.org/toc/2770-2081
Journal of Asian Social Science Research                            JASSR,Social Sciences,2721-9399,2721-9593,https://doaj.org/toc/2721-9399
Statistical Theory and Related Fields,Science: Mathematics: Probabilities. Mathematical statistics,2475-4269,2475-4277,https://doaj.org/toc/2475-4269
Праці Інституту електродинаміки Національної академії наук України                            The Proceedings of the Institute of Electrodynamics of the National Academy of Sciences of Ukraine,"Science: Physics
Technology",1727-9895,2786-7064,https://doaj.org/toc/1727-9895
Journal of Consumer Sciences,"Social Sciences: The family. Marriage. Woman
Social Sciences: Commerce: Business: Marketing. Distribution of products",,2460-8963,https://doaj.org/toc/2460-8963
Journal of Multidisciplinary Applied Natural Science                          ,Science,,2774-3047,https://doaj.org/toc/2774-3047
Em Construção                            Em Construção: Arquivos de Epistemologia Histórica e Estudos de Ciência,Social Sciences,,2526-5792,https://doaj.org/toc/2526-5792
"CT&F Ciencia, Tecnología & Futuro","Social Sciences: Industries. Land use. Labor: Special industries and trades: Energy industries. Energy policy. Fuel trade
Technology: Chemical technology: Chemical engineering",0122-5383,2382-4581,https://doaj.org/toc/0122-5383
Política & Trabalho                            Revista de Ciências Sociais Política & Trabalho,"Social Sciences: Industries. Land use. Labor: Labor. Work. Working class
Social Sciences: Social sciences (General)",,1517-5901,https://doaj.org/toc/1517-5901
مدیریت نوآوری                            Innovation Management,Technology: Manufactures: Production management. Operations management,2322-5386,,https://doaj.org/toc/2322-5386
Commentarii Mathematici Helvetici,Science: Mathematics,0010-2571,1420-8946,https://doaj.org/toc/0010-2571
Annales de l’Institut Henri Poincaré D,Science: Mathematics,2308-5827,2308-5835,https://doaj.org/toc/2308-5827
"Logistics, Supply Chain, Sustainability and Global Challenges",Social Sciences: Industries. Land use. Labor,,2784-7497,https://doaj.org/toc/2784-7497
Revista Desenvolvimento e Civilização,Social Sciences: Social sciences (General),,2675-7508,https://doaj.org/toc/2675-7508
Journal of Innovative Applied Mathematics and Computational Sciences,"Science: Mathematics: Probabilities. Mathematical statistics
Science: Mathematics: Instruments and machines",,2773-4196,https://doaj.org/toc/2773-4196
Journal of African Real Estate Research                            JARER,Social Sciences: Industries. Land use. Labor: Land use: Real estate business,,2304-8395,https://doaj.org/toc/2304-8395
Vetor                            Vetor: Revista de Ciências Exatas e Engenharias,"Technology: Engineering (General). Civil engineering (General)
Science: Mathematics",0102-7352,2358-3452,https://doaj.org/toc/0102-7352
Engineering Transactions                            Rozprawy Inżynierskie,Technology: Engineering (General). Civil engineering (General),0867-888X,2450-8071,https://doaj.org/toc/0867-888X
Archives of Acoustics,Science: Physics: Acoustics. Sound,0137-5075,2300-262X,https://doaj.org/toc/0137-5075
Polish Sociological Review,Social Sciences: Sociology (General),1231-1413,2657-4276,https://doaj.org/toc/1231-1413
"International Journal of Business, Law, and Education",Social Sciences,,2747-139X,https://doaj.org/toc/2747-139X
Animal Science and Genetics,"Science: Biology (General): Genetics
Science: Physiology: Animal biochemistry",,2720-6076,https://doaj.org/toc/2720-6076
Teknika                            Teknika: Jurnal Sains dan Teknologi,Technology,1693-024X,2654-4113,https://doaj.org/toc/1693-024X
JDE (Journal of Developing Economies),"Social Sciences: Economic theory. Demography: Economics as a science
Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",2541-1012,2528-2018,https://doaj.org/toc/2541-1012
Journal of Technology and Informatics                            JoTI,Technology,2721-4842,2686-6102,https://doaj.org/toc/2721-4842
Jurnal Ilmu Manajemen dan Bisnis,"Social Sciences: Commerce: Business
Social Sciences: Industries. Land use. Labor: Management. Industrial management",2337-411X,2503-3522,https://doaj.org/toc/2337-411X
Traffic Safety Research                          ,"Technology: Engineering (General). Civil engineering (General): Transportation engineering
Social Sciences: Transportation and communications",,2004-3082,https://doaj.org/toc/2004-3082
مجلة مركز بحوث التقنيات الاحيائية                            Journal of Biotechnology Research Center,"Technology: Chemical technology: Biotechnology
Science: Biology (General)",1815-1140,2708-1370,https://doaj.org/toc/1815-1140
Diyala Journal of Engineering Sciences                            مجلة ديالى للعلوم الهندسية,"Technology: Engineering (General). Civil engineering (General): Engineering machinery, tools, and implements
Technology: Engineering (General). Civil engineering (General): Mechanics of engineering. Applied mechanics
Technology: Electrical engineering. Electronics. Nuclear engineering
Technology: Chemical technology: Chemical engineering
Technology: Engineering (General). Civil engineering (General): Environmental engineering",1999-8716,2616-6909,https://doaj.org/toc/1999-8716
Electronic Journal of Mathematics,Science: Mathematics,,2789-5734,https://doaj.org/toc/2789-5734
Semestre Economico,"Social Sciences: Economic theory. Demography: Economics as a science
Social Sciences: Economic history and conditions
Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",2072-0572,2523-0840,https://doaj.org/toc/2072-0572
Telematics and Informatics Reports,"Technology: Technology (General): Industrial engineering. Management engineering: Information technology
Technology: Electrical engineering. Electronics. Nuclear engineering: Telecommunication",,2772-5030,https://doaj.org/toc/2772-5030
Autophagy Reports,Science: Biology (General): Cytology,,2769-4127,https://doaj.org/toc/2769-4127
"Современные инновации, системы и технологии                            Modern Innovations, Systems and Technologies",Technology: Technology (General),2782-2826,2782-2818,https://doaj.org/toc/2782-2826
Southern African Business Review,Social Sciences: Commerce: Business,,1998-8125,https://doaj.org/toc/1998-8125
Journal of Applied Economic Research,Social Sciences: Economic theory. Demography: Economics as a science,,2712-7435,https://doaj.org/toc/2712-7435
Advanced Nonlinear Studies,Science: Mathematics,1536-1365,2169-0375,https://doaj.org/toc/1536-1365
Revstat Statistical Journal,"Social Sciences: Statistics
Science: Mathematics: Probabilities. Mathematical statistics",1645-6726,2183-0371,https://doaj.org/toc/1645-6726
سیاست‌گذاری اقتصادی                            The Journal of Economic Policy,"Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",2645-3967,2645-3975,https://doaj.org/toc/2645-3967
Tropical Zoology,Science: Zoology,0394-6975,1970-9528,https://doaj.org/toc/0394-6975
Wiadomości Statystyczne                            The Polish Statistician,Social Sciences: Statistics,0043-518X,2543-8476,https://doaj.org/toc/0043-518X
Zhejiang dianli                            Zhejiang Electric Power,Technology: Electrical engineering. Electronics. Nuclear engineering,1007-1881,,https://doaj.org/toc/1007-1881
Supramolecular Materials                            SUPMAT,Science: Chemistry,,2667-2405,https://doaj.org/toc/2667-2405
Cleaner Production Letters,"Technology: Engineering (General). Civil engineering (General): Environmental engineering
Technology: Environmental technology. Sanitary engineering",,2666-7916,https://doaj.org/toc/2666-7916
"BenchCouncil Transactions on Benchmarks, Standards and Evaluations","Science
Technology: Engineering (General). Civil engineering (General)",,2772-4859,https://doaj.org/toc/2772-4859
Warta Pengabdian Andalas                            Jurnal Ilmiah Pengembangan Dan Penerapan Ipteks/JWA,Social Sciences: Social sciences (General),0854-655X,2797-1600,https://doaj.org/toc/0854-655X
Frontiers in Engineering and Built Environment,Technology: Engineering (General). Civil engineering (General),2634-2499,2634-2502,https://doaj.org/toc/2634-2499
Turisztikai és Vidékfejlesztési Tanulmányok                            Tourism and Rural Development Studies,"Social Sciences: Industries. Land use. Labor: Industry: Small and medium-sized businesses, artisans, handicrafts, trades
Technology: Home economics: Hospitality industry. Hotels, clubs, restaurants, etc. Food service
Social Sciences: Commerce: Business: Marketing. Distribution of products",2677-0431,2498-6984,https://doaj.org/toc/2677-0431
Chemistry Teacher International,Science: Chemistry,,2569-3263,https://doaj.org/toc/2569-3263
JSiI (Jurnal Sistem Informasi),Technology: Technology (General): Industrial engineering. Management engineering: Information technology,2406-7768,2581-2181,https://doaj.org/toc/2406-7768
DiGeSt: Journal of Diversity and Gender Studies                          ,Social Sciences: Communities. Classes. Races,2593-0273,2593-0281,https://doaj.org/toc/2593-0273
"علوم، فناوری و کاربردهای فضایی                            Space Science, Technology and Applications",Technology: Motor vehicles. Aeronautics. Astronautics,,2783-4557,https://doaj.org/toc/2783-4557
مهندسی عمران فردوسی                            Ferdowsi Civil Engineering,Technology: Engineering (General). Civil engineering (General),2783-2805,2783-199X,https://doaj.org/toc/2783-2805
Advanced Powder Materials,Technology: Mining engineering. Metallurgy,,2772-834X,https://doaj.org/toc/2772-834X
Neimenggu dianli jishu                            Inner Mongolia Electric Power,"Technology: Electrical engineering. Electronics. Nuclear engineering: Distribution or transmission of electric power
Technology: Electrical engineering. Electronics. Nuclear engineering: Applications of electric power",1008-6218,,https://doaj.org/toc/1008-6218
DIID                            Disegno Industriale Industrial Design,Technology: Technology (General): Mechanical drawing. Engineering graphics,1594-8528,2785-2245,https://doaj.org/toc/1594-8528
Applied Artificial Intelligence,"Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Science: Science (General): Cybernetics",0883-9514,1087-6545,https://doaj.org/toc/0883-9514
Climate Resilience and Sustainability,Science: Physics: Meteorology. Climatology,,2692-4587,https://doaj.org/toc/2692-4587
Archive                            Archive: Jurnal Pengabdian Kepada Masyarakat,Social Sciences: Social sciences (General),2809-7246,2809-7076,https://doaj.org/toc/2809-7246
RHS Revista Humanismo y Sociedad,Social Sciences: Social sciences (General),,2339-4196,https://doaj.org/toc/2339-4196
کاوش‌های مدیریت بازرگانی                            Journal of Business Administration Researches,Social Sciences: Commerce: Business: Business records management,2645-386X,2645-3878,https://doaj.org/toc/2645-386X
Pensamiento y Acción Interdisciplinaria,"Social Sciences: The family. Marriage. Woman
Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology",,0719-8078,https://doaj.org/toc/0719-8078
Revista Eletrônica de Direito Penal e Política Criminal,Social Sciences: Social pathology. Social and public welfare. Criminology,,2358-1956,https://doaj.org/toc/2358-1956
Brazilian Journal of Radiation Sciences                            BJRS,Science,,2319-0612,https://doaj.org/toc/2319-0612
Наука. Культура. Общество                            Science. Culture. Society,Social Sciences: Sociology (General),,2713-0681,https://doaj.org/toc/2713-0681
Journal of Applied Informatics and Computing                            JAIC,Science: Mathematics: Instruments and machines: Electronic computers. Computer science,,2548-6861,https://doaj.org/toc/2548-6861
COMSATS Journal of Islamic Finance,Social Sciences: Economic theory. Demography: Economics as a science,2519-707X,,https://doaj.org/toc/2519-707X
Jurnal Mekanik Terapan,Technology: Mechanical engineering and machinery,,2747-1381,https://doaj.org/toc/2747-1381
Almana: Jurnal Manajemen dan Bisnis,Social Sciences: Commerce: Business,2579-4892,2655-8327,https://doaj.org/toc/2579-4892
Advanced Genetics,Science: Biology (General): Genetics,,2641-6573,https://doaj.org/toc/2641-6573
Hangkong gongcheng jinzhan                            Advances in Aeronautical Science and Engineering,Technology: Motor vehicles. Aeronautics. Astronautics,1674-8190,,https://doaj.org/toc/1674-8190
Hozen seitaigaku kenkyu                            Japanese Journal of Conservation Ecology,Science: Biology (General): Ecology,1342-4327,2424-1431,https://doaj.org/toc/1342-4327
Journal of Smart Science and Technology,"Science
Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials
Technology: Building construction: Architectural engineering. Structural engineering of buildings",,2785-924X,https://doaj.org/toc/2785-924X
Nowoczesne Systemy Zarządzania                            Modern Management Systems,"Social Sciences: Industries. Land use. Labor: Management. Industrial management
Technology: Technology (General): Industrial engineering. Management engineering: Management information systems",1896-9380,2719-860X,https://doaj.org/toc/1896-9380
Współczesne Problemy Zarządzania                            Contemporary Management Problems,"Social Sciences: Commerce: Business: Business communication. Including business report writing, business correspondence
Social Sciences: Commerce: Business: Business records management",2720-1627,2720-2569,https://doaj.org/toc/2720-1627
NUST Journal of Engineering Sciences,"Technology: Engineering (General). Civil engineering (General)
Technology: Electrical engineering. Electronics. Nuclear engineering
Technology: Chemical technology: Chemical engineering",2070-9900,2411-6319,https://doaj.org/toc/2070-9900
"Наносистеми, наноматеріали, нанотехнології                            Nanosystems, Nanomaterials, Nanotechnologies","Science: Chemistry
Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials",1816-5230,2617-3794,https://doaj.org/toc/1816-5230
Manajemen dan Bisnis                            Journal of Management and Business,Social Sciences: Commerce: Business,1412-3789,2477-1783,https://doaj.org/toc/1412-3789
Jurnal Ilmiah Manajemen dan Bisnis                            JIMB,Social Sciences: Commerce: Business,2460-8424,2655-7274,https://doaj.org/toc/2460-8424
Geo&Bio                            Proceedings of the National Museum of Natural History,"Science: Biology (General)
Science: Geology",2617-6157,2617-6165,https://doaj.org/toc/2617-6157
Jurnal Pemberdayaan Masyarakat,Social Sciences,2355-8679,2655-2558,https://doaj.org/toc/2355-8679
Advances in Weed Science,"Science: Biology (General)
Science: Botany",,2675-9462,https://doaj.org/toc/2675-9462
Дороги і мости                            Roads and Bridges,Technology: Highway engineering. Roads and pavements,2524-0994,2786-488X,https://doaj.org/toc/2524-0994
Abdimas Unwahas: Jurnal Pengabdian Masyarakat Unwahas,Social Sciences,2541-1608,2579-7123,https://doaj.org/toc/2541-1608
Jurnal Teknik Pengairan                            Journal of Water Resources Engineering,Technology: Hydraulic engineering,2086-1761,2477-6068,https://doaj.org/toc/2086-1761
Revista de Estudios Jurídico Laborales y de Seguridad Social                            REJLSS,Social Sciences: Industries. Land use. Labor: Labor. Work. Working class: Labor policy. Labor and the state,,2660-437X,https://doaj.org/toc/2660-437X
Frontiers of Optoelectronics,Technology: Engineering (General). Civil engineering (General): Applied optics. Photonics,2095-2759,2095-2767,https://doaj.org/toc/2095-2759
International Journal of Applied Science and Engineering,"Technology: Engineering (General). Civil engineering (General)
Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware",1727-2394,1727-7841,https://doaj.org/toc/1727-2394
Jurnal Pengabdian Multidisiplin                            JAPAMUL,Social Sciences,,2775-2097,https://doaj.org/toc/2775-2097
Compàs d'Amalgama,Social Sciences,2696-0982,2696-1008,https://doaj.org/toc/2696-0982
Realidad                            Realidad: Revista de Ciencias Sociales y Humanidades,Social Sciences: Social sciences (General),1991-3516,2520-0526,https://doaj.org/toc/1991-3516
"Вісник Національного технічного університету ""ХПÌ"": Системний аналіз, управління та інформаційні технології                            Вестник Национального технического университета ""ХПИ"": Системный анализ, управление и информационные технологии",Technology,2079-0023,2410-2857,https://doaj.org/toc/2079-0023
矿业科学学报                            Journal of Mining Science and Technology,"Technology: Engineering (General). Civil engineering (General): Engineering geology. Rock mechanics. Soil mechanics. Underground construction
Technology: Mining engineering. Metallurgy",2096-2193,,https://doaj.org/toc/2096-2193
ISME Communications,Science: Microbiology: Microbial ecology,,2730-6151,https://doaj.org/toc/2730-6151
PNAS Nexus,Social Sciences,,2752-6542,https://doaj.org/toc/2752-6542
Elkawnie: Journal of Islamic Science and Technology,"Science
Technology: Engineering (General). Civil engineering (General)",2460-8912,2460-8920,https://doaj.org/toc/2460-8912
مهندسی مکانیک دانشگاه تبریز                            Journal of Mechanical Engineering University of Tabriz,Technology: Mechanical engineering and machinery,2228-5148,2783-0772,https://doaj.org/toc/2228-5148
Research Data Journal for the Humanities and Social Sciences,Social Sciences,,2452-3666,https://doaj.org/toc/2452-3666
Jurnal Administrasi Bisnis                            JAB,Social Sciences: Commerce: Business,2252-3294,2548-4923,https://doaj.org/toc/2252-3294
U Karst,Technology: Building construction,2579-4620,2581-0855,https://doaj.org/toc/2579-4620
Revista Técnica Energía,Technology: Technology (General),1390-5074,2602-8492,https://doaj.org/toc/1390-5074
Jurnal Riset dan Aplikasi: Akuntansi dan Manajemen                            Journal of Research and Application: Accounting and Management,"Social Sciences: Finance
Social Sciences: Commerce: Business",2443-3381,2443-1419,https://doaj.org/toc/2443-3381
International Journal of Automotive Engineering,Technology: Motor vehicles. Aeronautics. Astronautics,,2185-0992,https://doaj.org/toc/2185-0992
Journal of Wildlife and Parks                            JWP,Science: Biology (General): Ecology,0127-8126,,https://doaj.org/toc/0127-8126
Tạp chí Quản lý và Kinh tế Quốc tế,Social Sciences: Economic theory. Demography: Economics as a science,2615-9848,,https://doaj.org/toc/2615-9848
iPolytech Journal                          ,Technology: Engineering (General). Civil engineering (General),2782-4004,2782-6341,https://doaj.org/toc/2782-4004
Agroindustrial Technology Journal,Social Sciences: Industries. Land use. Labor: Special industries and trades: Agricultural industries,2599-0799,2598-9480,https://doaj.org/toc/2599-0799
Cahiers Jean Moulin,Social Sciences,,2553-9221,https://doaj.org/toc/2553-9221
Jurnal Teknoinfo,Science: Mathematics: Instruments and machines: Electronic computers. Computer science,1693-0010,2615-224X,https://doaj.org/toc/1693-0010
JEBA (Journal of Economics and Business Aseanomics),"Social Sciences: Economic theory. Demography: Economics as a science
Social Sciences: Commerce: Business",2527-7499,2528-3634,https://doaj.org/toc/2527-7499
[email protected][email protected]: Revue Électronique d’Histoire du Droit,Social Sciences,,2105-0929,https://doaj.org/toc/2105-0929
Jurnal Karinov,Social Sciences,,2620-6161,https://doaj.org/toc/2620-6161
Journal of Physics: Theories and Applications,Science: Physics,2549-7316,2549-7324,https://doaj.org/toc/2549-7316
PLOS Water,Technology: Environmental technology. Sanitary engineering: Water supply for domestic and industrial purposes,,2767-3219,https://doaj.org/toc/2767-3219
ECS Sensors Plus,"Technology: Chemical technology: Industrial electrochemistry
Technology: Electrical engineering. Electronics. Nuclear engineering: Materials of engineering and construction. Mechanics of materials",,2754-2726,https://doaj.org/toc/2754-2726
Carbon Neutrality,"Social Sciences: Industries. Land use. Labor: Special industries and trades: Energy industries. Energy policy. Fuel trade
Technology: Mechanical engineering and machinery: Renewable energy sources",2788-8614,2731-3948,https://doaj.org/toc/2788-8614
Business and Finance Journal                            BFJ,Social Sciences: Commerce: Business,2527-4872,2477-393X,https://doaj.org/toc/2527-4872
Economía Agraria y Recursos Naturales                            Agricultural and Resource Economics,"Social Sciences: Industries. Land use. Labor: Land use
Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",1578-0732,2174-7350,https://doaj.org/toc/1578-0732
Sustainable Development and Engineering Economics,Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Regional economics. Space in economics,,2782-6333,https://doaj.org/toc/2782-6333
Nitel Sosyal Bilimler                            Qualitative Social Sciences,Social Sciences: Social sciences (General),,2687-5764,https://doaj.org/toc/2687-5764
International Journal of Rural Criminology,"Social Sciences: Social pathology. Social and public welfare. Criminology
Social Sciences: Industries. Land use. Labor: Industry: Rural industries",,2768-3109,https://doaj.org/toc/2768-3109
بحوث في الخدمة الاجتماعية التنموية,Social Sciences: Sociology (General),2805-2404,,https://doaj.org/toc/2805-2404
Geotecnia,"Science: Geology
Technology: Engineering (General). Civil engineering (General): Engineering geology. Rock mechanics. Soil mechanics. Underground construction",0379-9522,2184-8394,https://doaj.org/toc/0379-9522
Acta Scientiarum Polonorum. Administratio Locorum,"Social Sciences: Industries. Land use. Labor: Land use: Land tenure
Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Regional economics. Space in economics",1644-0749,2450-0771,https://doaj.org/toc/1644-0749
Contributions to Tobacco and Nicotine Research,Science,,2719-9509,https://doaj.org/toc/2719-9509
Otopro,Technology: Mechanical engineering and machinery,1858-411X,2685-7863,https://doaj.org/toc/1858-411X
Digital Discovery,"Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Science: Chemistry",,2635-098X,https://doaj.org/toc/2635-098X
World Nutrition,"Technology: Home economics: Nutrition. Foods and food supply
Technology: Chemical technology: Food processing and manufacture",,2041-9775,https://doaj.org/toc/2041-9775
